2022-05-15 00:05:160 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:195 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:337 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (1b623ab4d135e3930151df4d34cc312d)] -> link text: Log in]
2022-05-15 00:05:366 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (1b623ab4d135e3930151df4d34cc312d)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 00:05:412 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:537 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:938 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (62e8688b16a78f528083de94b2d67198)] -> link text: Log in]
2022-05-15 00:05:964 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (62e8688b16a78f528083de94b2d67198)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 00:05:455 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:641 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:166 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (373c2654eca470d1b88343d58c170688)] -> link text: Log in]
2022-05-15 00:05:193 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (373c2654eca470d1b88343d58c170688)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 00:05:778 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:151 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (e13de443148056a614c95c6141afedc0)] -> link text: Log in]
2022-05-15 00:05:179 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (e13de443148056a614c95c6141afedc0)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 00:05:670 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:941 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (6be8f8589265b1989c572784379d23ab)] -> link text: Log in]
2022-05-15 00:05:971 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (6be8f8589265b1989c572784379d23ab)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 00:05:71 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:243 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (3eb2fbb349869a9ad2da6e71f4c7f7bd)] -> link text: Log in]
2022-05-15 00:05:273 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (3eb2fbb349869a9ad2da6e71f4c7f7bd)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 00:05:297 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:440 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (862bdbfffa74f8f63badc06661412ffc)] -> link text: Log in]
2022-05-15 00:05:469 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (862bdbfffa74f8f63badc06661412ffc)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 00:05:472 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 00:05:916 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (e2643bcf1dcdce3f5c8b70ee069e59fd)] -> link text: Log in]
2022-05-15 00:05:943 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (e2643bcf1dcdce3f5c8b70ee069e59fd)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 17:05:398 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 17:05:671 INFO  HomePage :58 - Click on login link : [[ChromeDriver: chrome on WINDOWS (6663f829b14ec1991a38e7876ba340e2)] -> link text: Log in]
2022-05-15 17:05:729 INFO  LoginPage :41 - Getting text from : [[ChromeDriver: chrome on WINDOWS (6663f829b14ec1991a38e7876ba340e2)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 17:05:881 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 17:05:265 INFO  HomePage :58 - Click on login link : [[ChromeDriver: chrome on WINDOWS (5e351a8e781bd670e3a5d38bb2bfbabd)] -> link text: Log in]
2022-05-15 17:05:532 INFO  LoginPage :47 - Enter email : [[ChromeDriver: chrome on WINDOWS (5e351a8e781bd670e3a5d38bb2bfbabd)] -> id: Email]
2022-05-15 17:05:755 INFO  LoginPage :52 - Enter password : [[ChromeDriver: chrome on WINDOWS (5e351a8e781bd670e3a5d38bb2bfbabd)] -> name: Password]
